id,status,age,activities num,language num,scholarship,secondary_education num,tertiary_education num,honour,major_of_tertiary_education,qualification_of_tertiary_education,study_mode_of_tertiary_education,university_of_tertiary_education,study time,working_exp num,working_exp total duration_months,
25347,invited,24,1,3,2,1,1,Second Upper,Business Administration,Bachelor,Full Time,The Hong Kong Polytechnic University,44,3,6,
25351,invited,23,1,2,0,1,1,First,Business Administration,Bachelor,Full Time,The University of Edinburgh,46,3,7,
25352,invited,22,1,3,0,1,2,Second Upper,Others,Bachelor,Full Time,The University of Hong Kong,23,2,36,
25356,invited,23,1,3,2,1,1,Second Upper,Marketing,Bachelor,Full Time,City University of Hong Kong,23,4,23,
25357,invited,21,8,4,0,1,2,First,Others,Bachelor,Full Time,City University of Hong Kong,46,4,25,
25360,rejected,21,1,4,1,1,2,Second Lower,Human Resources Management,Bachelor,Full Time,Others,46,3,7,
25363,rejected,27,2,2,0,1,2,First,Accounting,Master,Full Time,London School of Economics and Political Science (LSE),9,3,30,
25365,rejected,21,1,3,0,0,1,First,Others,Bachelor,Full Time,Others,45,1,3,
25367,invited,24,3,3,4,1,2,First,Others,Bachelor,Full Time,Others,33,5,51,
25371,rejected,23,1,4,1,0,3,First,International Business,Associate Degree,Full Time,Others,23,2,5,
25372,invited,21,4,3,0,1,2,Second Upper,Public Policy and Politics,Bachelor,Full Time,The University of Hong Kong,46,5,49,
25374,invited,22,1,3,1,1,1,Second Upper,Business Information Systems,Bachelor,Full Time,City University of Hong Kong,59,2,11,
25376,invited,22,3,3,2,1,3,First,Others,Master,Full Time,The University of Sheffield,45,4,2,
25377,rejected,27,0,3,0,0,2,First,Accounting,Master,Full Time,Others,12,6,0,
25384,invited,23,3,3,1,1,1,Second Upper,Others,Bachelor,Full Time,University of Toronto,31,4,10,
25385,invited,22,8,3,0,1,2,First,Public Policy and Politics,Bachelor,Full Time,Lancaster University,34,2,5,
25386,rejected,29,1,4,1,0,4,First,Business Administration,Master,Full Time,The Chinese University of Hong Kong,20,3,58,
25395,invited,22,3,2,0,1,1,First,Business Administration,Bachelor,Full Time,Boston University,45,2,5,
25397,rejected,26,2,3,3,1,2,Second Upper,Sociology,Bachelor,Full Time,The University of Hong Kong,22,4,22,
25398,rejected,21,2,3,0,1,1,Second Lower,Management,Bachelor,Full Time,The Hong Kong University of Science and Technology,46,3,5,
25399,invited,21,3,2,0,1,1,Second Upper,Economics,Bachelor,Full Time,Indiana University Bloomington,45,6,16,
25400,invited,22,3,3,1,1,3,Second Upper,Public Policy and Politics,Bachelor,Full Time,The University of Hong Kong,57,6,7,
25401,invited,21,2,3,0,1,1,Second Upper,Others,Bachelor,Full Time,University of California  Los Angeles (UCLA),21,6,22,
